,Tweet_text,emotion
141,voting since 1920.,sadness
142,,sadness
143,make sure vote tuesday keep democracy working,guilt
144,meclosets #uniteblue #votethemout #rockthevote #votoavoto #equalpay #immigrationreform unite voters bring back,sadness
145,point,sadness
146,"equal pay women. rights women vote. vote democrat. ""we people"" return democracy america. vote",sadness
147,i\'m voting reproductive rights equal pay. you?,sadness
148,boehner refuses bring vote equal pay & minimum wage..not even vote =dictatorship..not democrac,sadness
149,equal work equal,sadness
150,equal pay equal value\ndear south africans\nfor constitutional democracy function,sadness
151,jeopardy: equal,sadness
152,support democracy #uniteblue #voteblue #immigrationreform #raisetheminimumwage #votethemout #equalpay,guilt
153,flwaw ;we need 2 stop acceptance republican party still living dark ages? women deserve equal pay order 4 democracy 2 work,sadness
154,phonsinyb,disgust
155,"limbaugh: ""the equal-pay-for-women thing...is old hat even applicable anymore."" democracy needs",sadness
156,elizabethforma that's breathtakingly heartbreaking. uk people complain democracy.we got equal pay act,guilt
157,women still victims men work,disgust
158,"let\'s glad isn\'t us ""democracy"" means republican congress blocking bill equal pay equal work",sadness
159,equal representation important quality democracy.' \xe2\x80\xa6 vi fawcettsociety,anger
160,watch short film gender inequality:,joy
161,republicans senate voted #equalpay bill. hooray [the complete absence of] #democracy,guilt
162,let's pretend it's democracy women too: support equal pay women pa,sadness
163,gop white boys club doesn\xe2\x80\x99t understand,sadness
164,sengillibrand senatorbarb need democracy,disgust
165,vp america ensured equal pay women since democracy 1776? identifies gap disparity male &,sadness
166,women save american democracy kmich718 \ngop against\nequal pay\nwomen's health\nprotection assault\n#yourvotematter\nwomen,sadness
167,usa!! = rights:,sadness
168,faby_070 hugocn44 barackobama #uniteblue #immigrationreform #votethemout #equalpay progressives,guilt
169,joec1776 gopblackchick it's still democracy. gerrymandering refusal give women equal pay,sadness
170,afscme keithellison usa! 1964 equal rights bill passed! equal pay equal jobs! democracy! indivisible liberty & justice,sadness
171,raresapics derek_hanekom sahistoryonline 20 years democracy worst 63 years later equal pay all! anc never,sadness
172,"dem
 msg: corps",sadness
173,photo: right way #democracy #votingrights #minimumwage #equalpay #votedem #takethehouse \xc2\xa9cali...,disgust
174,newwisgov govwalker priority jobs to: hurt mid/class,guilt
175,iheartfairpay lowpayisnotok dignity democracy dental,disgust
176,dreamelder barackobama #livingwage #equalpay #climatechange #ui #jobsbill #waronwomen #cir battling save,sadness
177,scratchediphone it's responsibility educate anyone equal pay.,disgust
178,bluenationuntd gop republicans think women way stupid figure,sadness
179,viva__democracy thank,fear
180,yeah ukip want democracy back. hence don't agree equal pay equal,sadness
181,"comical watching vp biden promoting ""democracy"" #kiev minorities america can\'t vote & american women are
 denied equal pay. go",sadness
182,gazzahead gamebreakerscan media convince vote,sadness
183,jamiastarheart elizabethforma we're still talking equal pay 2014 also proof usa,sadness
184,mhpshow equal pay = unions =,sadness
185,"freedom charter demand that
",sadness
186,?? even vote 'the greatest democracy earth'? (pfff) thought equal pay for...,sadness
187,woman deserves equal pay equal work.\ barackobama,sadness
188,denying women equal pay rt cpsj letter: liberal bias bad democracy #liberalbias,sadness
189,rage: #voterid #womensrights #raisethewage #equalpay #climatechange #wecannotgoback #democracy,guilt
190,"jjauthor barackobama ericbolling equal pay equal work. that's
 communism that's",sadness
191,buisnick gop obviously terrified,guilt
192,"eslaven yes stunt aka responding constituents' demands aka democracy. reps don
 2 vote 4 #equalpay are
",sadness
193,#equalpay. gop anything strengthens country.,sadness
194,"great moments american democracy: sen chris murphy follows floor speech equal pay women with
 one shouting",guilt
195,don't vote backward idiots november i'm seriously gonna lose faith,sadness
196,equal pay equal work? course! great argument union,sadness
197,tea party exactly like ontario #conservatives- enrage teaching,sadness
198,addition,fear
199,women board companies must. equal pay human right. need lean in. need domestic,disgust
200,riderofkarma asher_wolf theemmylou sidenote: pirates first pave way 4 equal pay direct democracy,sadness
201,,fear
202,democracy nothing without,anger
203,progress fought,guilt
204,enconservative,fear
205,texas needs governor won't veto equal pay equal work | democracy america,sadness
206,simon bridges refuses rule legislating away kristine bartlett's equal pay victory nat attacks democracy/rule,sadness
207,imagine us fighting 4 democracy nations citizens marching 4 right here. voting & women's,sadness
208,"fashion moment\'\' libert\xc3\xa9, \xc3\xa9galit\xc3\xa9, fraternit\xc3\xa9; equal rights, equal pay; human rights; democracy; justice all; jurisprudence.' women
 equality day needs daily! #uniteblue #democracy #justice #p2 #topprog #tlot #tcot #peace #civilrights #freedom #equalpay' @knowdtruth44 seerapa although morningmika gets equal pay co-hosting show democracy, it's joenbc",sadness
209,support strike #barloworld phambili,joy
210,that's democracy. >:l \n\n\xe2\x80\x9 secularviewshow: rick perry vetoed equal pay pressure corporations,sadness
211,#suggestedspecialsessionagendaitem mandatory refresher course democracy. perhaps equal pay women minorities? #txlege,sadness
212,topics today's panel: protection,sadness
213,worried daughter's right decide health,sadness
214,vv4change maddow msnbc #poverty #housing #education #kidshealth #equalpay -what issues,sadness
215,week supreme court foi decision equal pay southlancouncil low paid workers. wishing every,disgust
216,"#bettertogether\n\n""we focus real issues matter",disgust
217,democracy its' finest. perry think it's reverse sexism? rick perry vetoes equal pay bill via,joy
218,delighted today approve equal pay act~prohibits arbitrary discrimination women payment wages~basic democracy.,disgust
219,equal pay act basic democracy. still today women earn less - better? president obama #equalpay,sadness
220,together fight free &,sadness
221,"anatinus liliradloff somehow doubt it. would regard ""libtard"" sentiments. know-like",sadness
222,many people speaking favor equal pay women. democracy trying speak. let,sadness
223,gmccully\xe2\x80\x94the party cynicism toxic,joy
224,"andrew_mcdonagh maryamnamazie feminist
 bashing religion; it's",sadness
225,rt deaw17: sapaonoi equal pay meal beauty democracy #redshirtstyle,sadness
226,loveafc12 south korea benefited democracy enormously. women earn equal pay? still inequalities,disgust
227,"#wealth #democracy ""equal pay monkeys"" :): v\xc3\xada",sadness
228,"bikininmaine rights all? lgt right get married? detroit
 right democracy? women
 right equal",sadness
229,lod: equal pay? via democracy north carolina \xc2\xbb link-of-the-day - infographics cool way ...,sadness
230,couragous second term inaugural speech #obama focus,guilt
231,seneca,guilt
232,"forgot got gifts pbo days
",anger
233,"#romneyryan2012 against
 equal pay 4 women! #obamabiden 4 #equality #forward #ohio #florida #vote #firedup 4 #democracy #vote2012 #vote4obama",sadness
234,voting today,fear
235,councillor andrew burns' really bad blog:,sadness
236,ringoffireradio romney said ispro women's right&democracy middle east.he women's reproductive right&equal pa,sadness
237,"wegoted romney professional
 rights women &democracy middle east waging war women's reproductive rights&equal",sadness
238,al's right.romney wants gender equality& democracy middle east opposes equal,sadness
239,"\xe2\x80\x9 johncornyn: democratically elected government
 egypt? muslim brotherhood? democracy voted senators vote equal pay",sadness
240,gop m.o.: block jobs bills. push bills deny contraception afr rape & equal pay women = kill,sadness
241,fundamentals people:equal,sadness
242,"msfoundation unacceptable.. nation is""the role model democracy""..iwhy women earning less $ job",sadness
243,berryhillj doctorow oddly,sadness
244,edievp rights....we fight equal,sadness
245,#thingsthatenragerepublicans,sadness
246,"democracy. mt lisamaatz #waronwomen update: my
 rep. barb byrum silenced house floor \xe2\x80\x93 again! time #equalpay",guilt
247,food_democracy hear,fear
248,full show 6 june : walker wins. democracy loses; watergate; equal pay ...,fear
249,ashleyjudd eileenhart1,anger
250,gop going chinese version democracy equal pay lawsuits,sadness
251,sad day 4 #democracy corporate money wins candidate election outspending opponent #waronwomen #equalpay,sadness
252,equal pay equal work pillar,sadness
253,themajorityofwomendonotwant2get equalpay/thensobeit/iftheyvote! democracy/but want=pay/thenvotedemocrat,sadness
254,what!? democracy stupid. #freedom rt barackobama every gop senator voted helping women get #equalpay equal,sadness
255,"owned chamber commerce needs democracy rt tom
 republicans block dem
 equal pay women bill:",sadness
256,barackobama good. fight equal,sadness
257,anything 2010 taught us is... always vote local & state elections. don't vote=,sadness
258,*talks holes heads democracy best form gov'ment women still fight equal pay* *is,sadness
259,"romney and
 unflattering spotlight: hesitates equal",sadness
260,rt prwatch wisconsin gop goes equal pay equal work | center media democracy,sadness
261,wisconsin #gop goes equal pay equal work | center media democracy( )no union?here come,sadness
262,wisconsin gop goes equal pay equal work | center media,sadness
263,democracy women still fighting equal,sadness
264,ecokha impressive...i think women one strongest forces democracy #mena,disgust
265,"annabirdfr oh
 that's exciting! cuts democracy?(btw meant tell preetho referenced equal pay: next other
",guilt
266,,anger
267,cityplymunison- fight democracy equal pay unison rally' outside civic,sadness
268,democracy doesn't mean ability vote running,sadness
269,colder weather brings fire belly australian,guilt
270,wimsicalb morning cousin wim! tooth fairy never kudos santa - they're equal,anger
271,#steveclarke makes opening statement: degradation,anger
272,oh smell democracy morning! walmart women workers protesting outside supreme court equal,sadness
273,2. believe myth,disgust
274,democracy new mexico: op-ed lt. governor candidate joe campos: national equal pay day: op-ed,anger
275,democracy nm blog: rep. joe campos' equal pay legislation passes nm,sadness
276,pleased #sotu. bad republicans sour. democracy feisty. glad #obama mentioned equal pay,sadness
277,,guilt
278,"democrat women go work trump organization equal pay! cannot help clinton didn't
 pay women",sadness
279,,anger
280,hillary clinton donald trump equal pay equal work,sadness
281,#womenshistorymonth want?\n\nhillary clinton white house\n\nmore half congress\n\nequal pay\n\ntrump,sadness
282,jordanuhl tonyposnanski 16 years clinton obama women still don't equal pay? wasted,sadness
283,danilolin pattikke caitrionambalfe hillary clinton believed equal pay paid women staffers less - barack obama,sadness
284,live \xc3\xa2\xcb\x9c\xc2\x9d\xc3\xaf\xc2\xb8\xc2\x8f rt originalgriz: candidate ensure equal pay.\n tackling racial,sadness
285,maddow,guilt
286,feminists worrie #equalpay obama didn't pay,sadness
287,clintonfdn chelsea equal pay? clinton foundation leadership team,disgust
288,ha ha left screws left. reporters w/experience make 1/6 crimeboss chelsea! way go equal,sadness
289,need make equal pay & equal opportunity women reality women\'s rights human rights & all!\n--hillary,sadness
290,,sadness
291,it's done! #beautiful,guilt
292,cya_lata_bye sempertt brittpettibone equal pay & myth long time...unless work hillary,sadness
293,"foxnews melissaafrancis dem
",sadness
294,"hillary clinton potus i\'d actually believe lived 21st century women r""supposed have"" equal rights & equal pay!",sadness
295,hillary clinton,sadness
296,morningmika outrage mika? fbiwfo never indicted equal\npay play hrc russian uranium,sadness
297,it's wrong equal pay gap often potus,sadness
298,"maryemilyohara women obama clinton administrations get ""equal pay."" clinton",sadness
299,"barack obama. #doyourjob ""we really nice things fight every $1 get equal",sadness
300,shannoncoulter ivankatrump women worked shut clinton foundation get equal pay? ah....that would,sadness
301,president obama back job hillary\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s remarks white,guilt
302,"cody_k britandco agree with
 equal pay and
 minority family religious abortion fair clinton foundation exposed",sadness
303,tomilahren secondiusacct wasn't hilary didn't give equal pay clinton foundation,sadness
304,"chrisrollins_ tomilahren yeah
 clinton foundation never heard equal pay",sadness
305,audi maybe tell clinton foundation equal,sadness
306,frankluntz hilary clinton made equal pay political? could sworn argument,sadness
307,tomilahren equal pay unless work hillary,sadness
308,tomilahren mariema49685063 excellent point-clinton foundation exempt non profit & equal,sadness
309,audi car helped drive hypocrisy clinton campaign fight equal pay,sadness
310,equal pay equal work: start clinton,sadness
311,"sexism america worse racism? hilary clinton might say ""duh"".",joy
312,fdrlst bre_payton majority employers fair comes equal pay. one know isn't clinton,sadness
313,"yeah seems people
 lecture us equal pay don't even pay women equally (clinton foundation etc)",sadness
314,audi 2 women & 1 ethnicity ex team. please keep lecturing people equality. shopping car,disgust
315,zika fact-finding trip bring,disgust
316,what's that? don't want hear hillary clinton talking equal pay ever rest life.,sadness
317,foxnews megyn kelly paid $15 million.\nfor show tucker carlson paid $500 thousand.\nwhere's outcry #equalpay?,sadness
318,"dougom professional
",guilt
319,feminists need hillary clinton equal pay,sadness
320,i'll work every,anger
321,ashleyjudd know #trump business paid females equal pay clinton foundation,sadness
322,chadwickwawa said don't get equal pay? true clinton foundation. protesting her? cmetzjo,sadness
323,tuckercarlson \nhillary clinton pay women equal pay,sadness
324,america great night name agree equal,disgust
325,rightglockmom piersmorgan clinton pays equal pay wage ea,sadness
326,today's alternate fact. hillary clinton potus.,joy
327,"vickimckenna 8 years
",sadness
328,"dennisprager eight years
 obama eight years
",sadness
329,rt lee_in_iowa: equal,sadness
330,"tweet_holt bill clinton passed law equal pay equal work. idea equality getting jobs you
 can't",sadness
331,foxnewssunday protesters wanted fairness women like equal pay. didn't protest,sadness
332,3volutionupdate markyoungtruth equal pay benefits. don't must working clinton,sadness
333,cbcthenational thooper8 protesting treatment women saudi,guilt
334,even important - women worked clinton foundation also shorted *equal pay*,disgust
335,women u.s. earn 77.5 cents dollar men earn.,guilt
336,adog634 equal work equal pay. also let's forget hillary clinton overqualified job lost nation,sadness
337,lovelikewhiskey jamieleecurtis inherwordsorg there's violation it. equal pay? clinton's pay 30% less women protests,sadness
338,womanmarineny brepicarelli thing ?and equal pay argued years since bill,sadness
339,bettymccollum04 esmemurphy wcco funny speak equal pay. clinton foundation pays women less. much poster,sadness
340,jen_girouard brierebear thebearsaj haqman28 piersmorgan theresa_may think clinton foundation pass equal,sadness
341,foxandfriends agree dr king equal,sadness
342,michael_seguin dylanwohlenhaus kare11,anger
343,realdonaldtrump need introduce law - equal pay equal,sadness
344,"a_lumir equal pay!rape culture?no 1 says ok-b. clinton serial adulterer you
 wanted enabling wife pres?",sadness
345,brianstelter people marched treatment women saudi arabia clinton foundation un equal pay women. fake news,guilt
346,hillary clinton demands equal pay doesn't put money mouth is. (check facts),sadness
347,zing7474 reuters let's examine,joy
348,marymac169 kurtschlichter j_elle_lucy clinton signed equal pay act. can't,sadness
349,where's hillary clinton marches? thought fighting equal pay/ rights women... hillary supporters,sadness
350,misslizzynj lake4963 ...and hillary equal,sadness
351,jessebwatters,joy
352,didn't women hold,sadness
353,fnreporting didn't protest obama & clinton equal pay etc. obama nothing clinton paid women less,sadness
354,cnnpolitics lock,anger
355,lovesharmony07 equal pay occurs,joy
356,cbsnews gonna talk hillary equal pay clinton foundation? probably,sadness
357,mayoredmurray protesting treatment women saudi arabia un equal pay clinton foundation. sad true. glad,sadness
358,tomilahren hm.women,disgust
359,chrgdup1973\n\nwomen march #clinton residence 33 old house ln,guilt
360,lenadunham trump paid female employees equal pay clinton foundation didn't protesting didn't,sadness
361,tlupick ebheater protest treatment women saudi arabia. protest un equal pay clinton foundation & accepting donations,joy
362,"brandontalks realdonaldtrump thought women
 rights. fairly bashed clinton & obama 4 equal",sadness
363,gopjenna women want equal,sadness
364,capitalismcures mdj17 jasmineymouse 8 years obama & 8 years clinton equal pay? didn't help much,sadness
365,hillaryclinton womensmarch doesn't clinton foundation pay women equal pay,sadness
366,"mflynnjr noticed people commented didn't answer question you
 know women clinton foundation didn't get equal",sadness
367,ableraces cnnbrk since year,disgust
368,hillary clinton spent,sadness
369,american deserves recognize hillaryclinton\'s speech equal pay workers,sadness
370,"joshbarker1983 gritika example
 equal",sadness
371,think start clinton foundation organizing america see they're giving equal pay equal work.,sadness
372,thesafestspace ms. judd alone failing understand basic economics,sadness
373,"times
 mrs. clinton's campaign missed many marks; campaign equal pay women left blacks messaging.",sadness
374,equal pay litigant lilly ledbetter endorses,sadness
375,streep done nothing support women: said billy clinton didn't sexually attack,disgust
376,"fighting equal pay paid family leave playing gender card, deal in! \xe2\x80\x93 hillary",sadness
377,plcb1977 jsavite nofilteralexa clinton pays white men - equal pay equal work,sadness
378,hillary clinton demands equal pay doesn't put money mouth,sadness
379,thedemocrats clinton's didn't get memo equal pay biil. check clinton foundation campaign.,sadness
380,vabvox potus laborsec ...and he's ignoring decadss hillary clinton's politics. #berniesanders one,joy
381,he\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s nominated progressive stacked snapping equal pay president campaign,sadness
382,hard 47246 guarantee #equalpay abortion.\n \n,sadness
383,numbers helpful quiz keep families he's paying tough issues dismissed equal,sadness
384,great write-up study. could move toward combating,joy
385,male versus female hospitalists: shmlive,sadness
386,fktima cnn - hillary clinton paid female employees less men? claimed equal,sadness
387,,anger
388,brian williams says wages,joy
389,hypocrisy hillary campaigning equal pay women paying women clinton foundation 38% less men,sadness
390,hypocrisy hillary publicly bashing wall street giving $225k speeches goldman sachs,joy
391,tinadesireeberg djspintel hilda/granny pantsuits/hilaryous clinton. pays women less,sadness
392,university,sadness
393,mccindy64 sen. kirsten gillibrand: hillary clinton fight paid,joy
394,hillary clinton donald trump equal pay equal work,sadness
395,salt: hillary clinton,joy
396,clinton really give women equal pay?,sadness
397,indiana north,sadness
398,,joy
399,,sadness
400,"emmy rossum demanding pay william h. macy role ""shameless""",sadness
401,ponchoblack37 champion woman's rights equal pay....still pays woman less men corrupt clinton,sadness
402,get equal,sadness
403,megynkelly women upset/elaine chao voting equal pay act yet comfortable hillary clinton paying women less,sadness
404,donald trump break working moms) equal,sadness
405,that\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s equal pay already,sadness
406,hillary clinton demands equal pay doesn't put money mouth,sadness
407,haynes_sandi paid attention. clinton offering equal pay women. middle class screwed,sadness
408,haynes_sandi,anger
409,amazing blog people regret voting,guilt
410,november thought piece:,guilt
411,latest blog post,joy
412,deannolongerino it's moot isn't it? knows clinton would done equal pay. know trump won't,sadness
413,hillary clinton spent,sadness
414,breezecyclone clinton demands equal pay doesn't put money mouth,sadness
415,"report also found actually notable alignment between
 trump & clinton voters issues like equal pay money",joy
416,kosmo_ebooks like ofc feed full,sadness
417,watch hillary's first speech taken great women-owned shop equal pay black votes,sadness
418,bohemianmoon jimmy carter last real liberal,joy
419,atheist_dh hahahhahah lol like clinton foundation giving equal pay,sadness
420,ctr talking points: hillary clinton: champion equal pay,sadness
421,collier bernie family,anger
422,clinton wanted equal pay men women yet campaign,sadness
423,clinton won we'd discussing minimum wage maternity leave. instead get argue preferred nomenclature,sadness
424,danagoldstein citizencohn demjournal don't recall clinton advocating raising minimum,sadness
425,"classof1776 shaunking wonder clinton\'s ""heiling"" pix?\nheil affordable college? heil infrastructure spending? heil equal",sadness
426,eringmill foxandfriends tomilahren didn't clinton's get equal pay? she's platform years zero,sadness
427,"jeffhamma sheerirish lose right equal pay. now. btw republican clinton bullshit
 useless",sadness
428,"warren making fake news. obama with
 equal pay. clinton fndn major wage gap executive
 males make $112k females\n",sadness
429,senwarren don't work do? get hell twitter work state retract fake indian heritage college entry,sadness
430,clinton lost rally,guilt
431,"reid: clinton lost ""republican operative"" james comey",joy
432,carolina rt hillaryfornh: watching race flint see hillary. 2015 getting equal,sadness
433,"cscottosupokes patricialriver1 akmessiah libertynlashes todayshow didn't
 clinton foundationa equal pay",sadness
434,see stand help,sadness
435,resistance2020 breitbartnews,sadness
436,sensanders bad clinton foundation didn't believe equal pay male/female,sadness
437,brianstelter trump pays women equal,sadness
438,women paid equal pay trump organization. 1/3 less men clinton foundation.,sadness
439,liberals: trump,sadness
440,nbcnews women get equal,sadness
441,brittpettibone hillary clinton advocate equal,sadness
442,clinton foundation equal pay problem:\nfwd: equal pay - foundation - wikileaks -,sadness
